order_id,order_date,customer_city,category,units,unit_price_inr,discount_pct,payment_method,status,revenue_inr
ORD-0021,2024-06-09,Delhi NCR,Electronics,3,8242.0,5,Net Banking,Delivered,23489.7
ORD-0022,2024-10-26,Hyderabad,Books,2,294.0,15,COD,Delivered,499.8
ORD-0023,2024-07-13,Hyderabad,Fashion,2,1886.0,0,COD,Delivered,3772.0
ORD-0024,2024-09-07,Gurugram,Beauty,3,2427.0,30,COD,Delivered,5096.7
ORD-0025,2024-03-27,Bangalore,Books,2,6635.0,5,Net Banking,Delivered,12606.5
ORD-0026,2024-11-24,Bangalore,Home,2,8265.0,15,UPI,Delivered,14050.5
ORD-0027,2024-03-11,Pune,Fashion,1,6914.0,10,UPI,Cancelled,6222.6
ORD-0028,2024-08-21,Mumbai,Electronics,2,231.0,15,Net Banking,Returned,392.7
ORD-0029,2024-09-06,Bangalore,Electronics,5,8228.0,20,Net Banking,Delivered,32912.0
ORD-0030,2024-05-20,Hyderabad,Fashion,4,255.0,15,UPI,Delivered,867.0
ORD-0031,2024-02-24,Bangalore,Home,4,7285.0,0,Credit Card,Delivered,29140.0
ORD-0032,2024-06-30,Mumbai,Grocery,2,5635.0,5,UPI,Delivered,10706.5
ORD-0033,2024-12-22,Bangalore,Fashion,4,4212.0,0,UPI,Returned,16848.0
ORD-0034,2024-07-12,Hyderabad,Home,1,977.0,10,UPI,Returned,879.3
ORD-0035,2024-09-12,Delhi NCR,Beauty,1,6370.0,0,Debit Card,Delivered,6370.0
ORD-0036,2024-04-27,Bangalore,Books,1,8069.0,0,Net Banking,Delivered,8069.0
ORD-0037,2024-12-16,Mumbai,Home,3,562.0,0,Net Banking,Returned,1686.0
ORD-0038,2024-06-10,Bangalore,Fashion,1,1737.0,30,Net Banking,Delivered,1215.9
ORD-0039,2024-03-24,Hyderabad,Fashion,4,8371.0,5,Net Banking,Delivered,31809.8
ORD-0040,2024-03-12,Chennai,Books,5,3086.0,30,UPI,Delivered,10801.0
ORD-0041,2024-04-28,Bangalore,Grocery,3,625.0,10,Net Banking,Shipped,1687.5
ORD-0042,2024-06-16,Bangalore,Beauty,5,8600.0,10,Debit Card,Delivered,38700.0
ORD-0043,2024-07-11,Delhi NCR,Fashion,4,2169.0,15,Net Banking,Returned,7374.6
ORD-0044,2024-05-31,Bangalore,Books,4,908.0,15,UPI,Delivered,3087.2
ORD-0045,2024-11-20,Bangalore,Toys,3,1515.0,20,COD,Delivered,3636.0
ORD-0046,2024-06-06,Delhi NCR,Grocery,3,1093.0,0,Debit Card,Delivered,3279.0
ORD-0047,2024-08-17,Hyderabad,Home,2,923.0,10,Net Banking,Delivered,1661.4
ORD-0048,2024-10-10,Bangalore,Beauty,1,382.0,5,Net Banking,Delivered,362.9
ORD-0049,2024-07-17,Gurugram,Electronics,4,259.0,10,Net Banking,Delivered,932.4
ORD-0050,2024-07-13,Bangalore,Electronics,5,4762.0,20,Debit Card,Delivered,19048.0
ORD-0051,2024-03-26,Delhi NCR,Fashion,3,4514.0,0,COD,Delivered,13542.0
ORD-0052,2024-05-08,Bangalore,Books,4,7077.0,5,COD,Delivered,26892.6
ORD-0053,2024-03-10,Mumbai,Electronics,5,1881.0,0,COD,Delivered,9405.0
ORD-0054,2024-06-17,Delhi NCR,Grocery,5,3512.0,30,COD,Returned,12292.0
ORD-0055,2024-11-04,Chennai,Fashion,5,1355.0,5,COD,Delivered,6436.25
ORD-0056,2024-05-29,Gurugram,Books,2,8686.0,5,COD,Delivered,16503.4
ORD-0057,2024-07-20,Mumbai,Electronics,2,3034.0,5,Net Banking,Delivered,5764.6
ORD-0058,2024-12-15,Gurugram,Home,5,8976.0,0,UPI,Cancelled,44880.0
ORD-0059,2024-08-12,Mumbai,Books,4,8495.0,0,UPI,Delivered,33980.0
ORD-0060,2024-05-03,Mumbai,Books,4,1382.0,5,Credit Card,Cancelled,5251.6
ORD-0061,2024-08-17,Hyderabad,Home,4,7133.0,0,Net Banking,Delivered,28532.0
ORD-0062,2024-12-20,Delhi NCR,Home,5,4634.0,30,UPI,Delivered,16219.0
ORD-0063,2024-02-25,Gurugram,Fashion,5,5405.0,0,Debit Card,Delivered,27025.0
ORD-0064,2024-12-12,Pune,Grocery,5,542.0,20,Debit Card,Delivered,2168.0
ORD-0065,2024-04-23,Delhi NCR,Toys,1,243.0,5,Net Banking,Delivered,230.85
ORD-0066,2024-08-16,Mumbai,Grocery,5,6236.0,0,COD,Shipped,31180.0
ORD-0067,2024-06-25,Bangalore,Home,5,6260.0,0,UPI,Delivered,31300.0
ORD-0068,2024-02-29,Gurugram,Electronics,4,8297.0,0,Debit Card,Delivered,33188.0
ORD-0069,2024-09-23,Delhi NCR,Grocery,3,4180.0,0,COD,Delivered,12540.0
ORD-0070,2024-06-12,Bangalore,Fashion,4,6540.0,10,UPI,Cancelled,23544.0
ORD-0071,2024-11-27,Bangalore,Books,1,350.0,5,Credit Card,Cancelled,332.5
ORD-0072,2024-03-22,Mumbai,Home,2,4717.0,15,COD,Delivered,8018.9
ORD-0073,2024-04-04,Bangalore,Beauty,2,7210.0,20,COD,Delivered,11536.0
ORD-0074,2024-08-18,Hyderabad,Grocery,1,6676.0,0,COD,Delivered,6676.0
ORD-0075,2024-12-26,Bangalore,Beauty,2,1971.0,30,UPI,Delivered,2759.4
ORD-0076,2024-08-22,Bangalore,Fashion,2,3387.0,0,COD,Delivered,6774.0
ORD-0077,2024-07-19,Hyderabad,Electronics,3,5433.0,15,Debit Card,Delivered,13854.15
ORD-0078,2024-12-10,Chennai,Fashion,4,5614.0,30,Net Banking,Delivered,15719.2
ORD-0079,2024-03-01,Bangalore,Fashion,1,6098.0,5,UPI,Delivered,5793.1
ORD-0080,2024-07-17,Delhi NCR,Beauty,3,6287.0,15,Credit Card,Delivered,16031.85
ORD-0081,2024-11-21,Hyderabad,Books,4,3894.0,10,Credit Card,Delivered,14018.4
ORD-0082,2024-04-05,Mumbai,Grocery,2,4483.0,0,Net Banking,Delivered,8966.0
ORD-0083,2024-03-10,Bangalore,Grocery,3,8574.0,10,Net Banking,Delivered,23149.8
ORD-0084,2024-07-31,Chennai,Grocery,4,3771.0,10,COD,Delivered,13575.6
ORD-0085,2024-04-22,Mumbai,Electronics,1,5154.0,30,Debit Card,Delivered,3607.8
ORD-0086,2024-08-22,Hyderabad,Toys,5,2705.0,30,COD,Delivered,9467.5
ORD-0087,2024-05-17,Gurugram,Home,5,1152.0,0,Debit Card,Delivered,5760.0
ORD-0088,2024-10-06,Bangalore,Grocery,1,6876.0,10,UPI,Cancelled,6188.4
ORD-0089,2024-08-18,Mumbai,Grocery,2,2785.0,0,UPI,Delivered,5570.0
ORD-0090,2024-04-17,Gurugram,Beauty,1,7014.0,0,Debit Card,Cancelled,7014.0
ORD-0091,2024-11-11,Bangalore,Fashion,5,5750.0,0,Credit Card,Delivered,28750.0
ORD-0092,2024-11-01,Hyderabad,Electronics,5,3255.0,5,Debit Card,Cancelled,15461.25
ORD-0093,2024-09-20,Chennai,Electronics,3,2711.0,5,Credit Card,Shipped,7726.35
ORD-0094,2024-12-01,Bangalore,Books,4,8281.0,5,Credit Card,Delivered,31467.8
ORD-0095,2024-05-06,Gurugram,Books,2,6446.0,30,COD,Delivered,9024.4
ORD-0096,2024-11-17,Delhi NCR,Grocery,2,5260.0,5,COD,Delivered,9994.0
ORD-0097,2024-05-22,Chennai,Grocery,1,3715.0,20,COD,Delivered,2972.0
ORD-0098,2024-02-17,Gurugram,Home,3,5300.0,30,Debit Card,Delivered,11130.0
ORD-0099,2024-04-18,Delhi NCR,Fashion,5,3670.0,10,Debit Card,Delivered,16515.0
ORD-0100,2024-10-16,Delhi NCR,Grocery,3,4994.0,0,UPI,Delivered,14982.0
ORD-0101,2024-08-23,Bangalore,Electronics,1,5692.0,30,Credit Card,Delivered,3984.4
ORD-0102,2024-04-13,Chennai,Electronics,4,156.0,10,Debit Card,Delivered,561.6
ORD-0103,2024-05-08,Bangalore,Grocery,3,976.0,5,Credit Card,Delivered,2781.6
ORD-0104,2024-12-24,Gurugram,Fashion,4,5687.0,20,COD,Returned,18198.4
ORD-0105,2024-04-19,Delhi NCR,Electronics,1,6378.0,0,Credit Card,Delivered,6378.0
ORD-0106,2024-01-05,Bangalore,Books,2,4747.0,10,Debit Card,Delivered,8544.6
ORD-0107,2024-02-06,Bangalore,Grocery,4,6292.0,10,UPI,Cancelled,22651.2
ORD-0108,2024-06-02,Bangalore,Grocery,1,1063.0,5,Credit Card,Returned,1009.85
ORD-0109,2024-01-05,Pune,Beauty,2,755.0,15,Credit Card,Delivered,1283.5
ORD-0110,2024-03-18,Delhi NCR,Beauty,3,6544.0,20,COD,Delivered,15705.6
ORD-0111,2024-03-04,Hyderabad,Books,1,8085.0,0,COD,Delivered,8085.0
ORD-0112,2024-05-06,Mumbai,Beauty,4,2933.0,0,UPI,Delivered,11732.0
ORD-0113,2024-11-07,Mumbai,Toys,5,5469.0,20,UPI,Returned,21876.0
ORD-0114,2024-09-17,Bangalore,Toys,3,1968.0,15,COD,Delivered,5018.4
ORD-0115,2024-05-02,Delhi NCR,Grocery,1,7087.0,30,UPI,Delivered,4960.9
ORD-0116,2024-09-27,Bangalore,Grocery,4,5797.0,0,Debit Card,Delivered,23188.0
ORD-0117,2024-08-03,Mumbai,Home,4,7768.0,15,Credit Card,Shipped,26411.2
ORD-0118,2024-02-07,Bangalore,Beauty,4,8597.0,30,UPI,Delivered,24071.6
ORD-0119,2024-07-22,Delhi NCR,Fashion,3,2059.0,0,Net Banking,Shipped,6177.0
ORD-0120,2024-02-12,Pune,Home,4,3899.0,10,Net Banking,Returned,14036.4
ORD-0121,2024-02-10,Delhi NCR,Fashion,2,2606.0,5,Credit Card,Delivered,4951.4
ORD-0122,2024-11-28,Chennai,Beauty,3,3608.0,20,UPI,Delivered,8659.2
ORD-0123,2024-05-02,Bangalore,Fashion,4,6610.0,30,UPI,Delivered,18508.0
ORD-0124,2024-01-29,Mumbai,Books,1,4162.0,15,Credit Card,Delivered,3537.7
ORD-0125,2024-01-06,Bangalore,Home,1,6415.0,20,Debit Card,Delivered,5132.0
ORD-0126,2024-05-12,Bangalore,Grocery,5,7079.0,20,Credit Card,Cancelled,28316.0
ORD-0127,2024-01-16,Mumbai,Grocery,3,6636.0,0,Debit Card,Delivered,19908.0
ORD-0128,2024-11-17,Bangalore,Home,1,2477.0,15,COD,Delivered,2105.45
ORD-0129,2024-10-17,Bangalore,Grocery,3,641.0,30,Credit Card,Delivered,1346.1
ORD-0130,2024-02-29,Bangalore,Toys,1,8064.0,20,Net Banking,Delivered,6451.2
ORD-0131,2024-05-05,Bangalore,Home,1,7749.0,0,Debit Card,Delivered,7749.0
ORD-0132,2024-01-19,Hyderabad,Books,2,1734.0,30,COD,Delivered,2427.6
ORD-0133,2024-06-12,Mumbai,Electronics,3,2347.0,20,Net Banking,Delivered,5632.8
ORD-0134,2024-04-01,Bangalore,Home,1,4593.0,0,UPI,Delivered,4593.0
ORD-0135,2024-05-24,Gurugram,Fashion,1,7911.0,30,Debit Card,Delivered,5537.7
ORD-0136,2024-04-12,Mumbai,Beauty,5,4192.0,5,Debit Card,Cancelled,19912.0
ORD-0137,2024-10-29,Delhi NCR,Toys,5,2297.0,5,Credit Card,Cancelled,10910.75
ORD-0138,2024-03-18,Bangalore,Grocery,5,6880.0,0,UPI,Delivered,34400.0
ORD-0139,2024-12-21,Bangalore,Grocery,5,3216.0,30,UPI,Shipped,11256.0
ORD-0140,2024-06-06,Bangalore,Fashion,4,7664.0,20,Net Banking,Delivered,24524.8
ORD-0141,2024-03-13,Chennai,Fashion,4,4504.0,0,UPI,Delivered,18016.0
ORD-0142,2024-07-30,Chennai,Grocery,2,8091.0,15,COD,Cancelled,13754.7
ORD-0143,2024-03-09,Pune,Grocery,1,5290.0,15,UPI,Delivered,4496.5
ORD-0144,2024-03-07,Bangalore,Fashion,5,701.0,20,Debit Card,Delivered,2804.0
ORD-0145,2024-06-16,Mumbai,Grocery,4,6351.0,20,Debit Card,Delivered,20323.2
ORD-0146,2024-10-26,Bangalore,Electronics,1,8500.0,0,UPI,Delivered,8500.0
ORD-0147,2024-03-02,Hyderabad,Grocery,4,4275.0,10,Credit Card,Delivered,15390.0
ORD-0148,2024-03-02,Bangalore,Electronics,3,4251.0,30,Debit Card,Cancelled,8927.1
ORD-0149,2024-06-16,Bangalore,Electronics,5,507.0,30,Credit Card,Delivered,1774.5
ORD-0150,2024-06-02,Mumbai,Fashion,4,4694.0,20,UPI,Delivered,15020.8
ORD-0151,2024-05-07,Bangalore,Home,4,5070.0,15,UPI,Delivered,17238.0
ORD-0152,2024-04-23,Bangalore,Fashion,1,256.0,30,COD,Delivered,179.2
ORD-0153,2024-02-08,Bangalore,Electronics,1,5304.0,5,Credit Card,Returned,5038.8
ORD-0154,2024-06-18,Bangalore,Electronics,4,7312.0,0,COD,Delivered,29248.0
ORD-0155,2024-07-21,Delhi NCR,Electronics,2,8329.0,10,COD,Returned,14992.2
ORD-0156,2024-04-05,Mumbai,Fashion,4,1679.0,0,COD,Delivered,6716.0
ORD-0157,2024-05-05,Pune,Fashion,1,5585.0,15,COD,Delivered,4747.25
ORD-0158,2024-05-23,Mumbai,Electronics,5,4389.0,0,COD,Delivered,21945.0
ORD-0159,2024-10-05,Bangalore,Grocery,5,2355.0,30,Debit Card,Delivered,8242.5
ORD-0160,2024-10-16,Delhi NCR,Fashion,5,7066.0,5,COD,Delivered,33563.5
ORD-0161,2024-04-22,Bangalore,Toys,2,381.0,15,Debit Card,Delivered,647.7
ORD-0162,2024-10-26,Bangalore,Electronics,4,4835.0,30,UPI,Delivered,13538.0
ORD-0163,2024-01-29,Gurugram,Fashion,2,2509.0,30,Net Banking,Delivered,3512.6
ORD-0164,2024-03-29,Bangalore,Fashion,3,8427.0,30,Net Banking,Delivered,17696.7
ORD-0165,2024-12-26,Chennai,Grocery,3,8239.0,0,Net Banking,Delivered,24717.0
ORD-0166,2024-09-09,Hyderabad,Fashion,2,5134.0,0,Credit Card,Delivered,10268.0
ORD-0167,2024-11-04,Bangalore,Electronics,1,949.0,0,Net Banking,Delivered,949.0
ORD-0168,2024-04-13,Bangalore,Grocery,1,3086.0,15,Credit Card,Delivered,2623.1
ORD-0169,2024-12-26,Bangalore,Toys,1,344.0,15,UPI,Delivered,292.4
ORD-0170,2024-12-26,Pune,Grocery,3,8651.0,5,Net Banking,Delivered,24655.35
ORD-0171,2024-03-21,Gurugram,Grocery,3,2821.0,0,COD,Returned,8463.0
ORD-0172,2024-12-21,Pune,Grocery,3,1692.0,15,Credit Card,Returned,4314.6
ORD-0173,2024-06-06,Gurugram,Books,5,7358.0,10,Debit Card,Delivered,33111.0
ORD-0174,2024-10-20,Mumbai,Toys,2,6600.0,20,Net Banking,Delivered,10560.0
ORD-0175,2024-11-09,Bangalore,Beauty,2,5481.0,30,Net Banking,Delivered,7673.4
ORD-0176,2024-02-09,Bangalore,Grocery,4,1395.0,20,Debit Card,Delivered,4464.0
ORD-0177,2024-11-23,Gurugram,Grocery,1,7422.0,20,COD,Delivered,5937.6
ORD-0178,2024-02-04,Mumbai,Fashion,3,2006.0,20,UPI,Cancelled,4814.4
ORD-0179,2024-08-02,Bangalore,Grocery,1,576.0,10,COD,Delivered,518.4
ORD-0180,2024-09-02,Hyderabad,Beauty,3,4982.0,0,Credit Card,Delivered,14946.0
ORD-0181,2024-01-18,Mumbai,Electronics,4,802.0,30,Debit Card,Delivered,2245.6
ORD-0182,2024-07-11,Bangalore,Books,1,807.0,0,UPI,Delivered,807.0
ORD-0183,2024-09-04,Chennai,Electronics,1,3141.0,15,COD,Returned,2669.85
ORD-0184,2024-03-21,Bangalore,Electronics,2,5525.0,10,Debit Card,Delivered,9945.0
ORD-0185,2024-10-03,Mumbai,Books,2,3772.0,15,Debit Card,Delivered,6412.4
ORD-0186,2024-10-19,Hyderabad,Home,2,999.0,10,Credit Card,Delivered,1798.2
ORD-0187,2024-05-30,Pune,Beauty,3,184.0,0,Net Banking,Delivered,552.0
ORD-0188,2024-03-28,Pune,Fashion,2,1008.0,0,UPI,Delivered,2016.0
ORD-0189,2024-08-29,Delhi NCR,Books,1,2879.0,10,Debit Card,Delivered,2591.1
ORD-0190,2024-07-14,Mumbai,Fashion,5,3580.0,5,COD,Delivered,17005.0
ORD-0191,2024-04-25,Mumbai,Beauty,3,4042.0,5,UPI,Delivered,11519.7
ORD-0192,2024-10-04,Delhi NCR,Toys,1,909.0,5,Net Banking,Delivered,863.55
ORD-0193,2024-09-24,Delhi NCR,Home,5,690.0,10,COD,Delivered,3105.0
ORD-0194,2024-07-21,Chennai,Electronics,2,4365.0,0,Net Banking,Delivered,8730.0
ORD-0195,2024-11-13,Bangalore,Electronics,5,7234.0,20,COD,Delivered,28936.0
ORD-0196,2024-04-08,Bangalore,Electronics,2,8754.0,30,COD,Delivered,12255.6
ORD-0197,2024-11-17,Bangalore,Beauty,4,1937.0,30,Debit Card,Delivered,5423.6
ORD-0198,2024-07-22,Hyderabad,Fashion,1,920.0,15,Debit Card,Delivered,782.0
ORD-0199,2024-12-24,Pune,Beauty,4,8267.0,0,Net Banking,Delivered,33068.0
ORD-0200,2024-10-17,Hyderabad,Beauty,1,3818.0,0,UPI,Delivered,3818.0
ORD-0201,2024-05-26,Hyderabad,Grocery,5,7049.0,30,COD,Delivered,24671.5
ORD-0202,2024-11-07,Delhi NCR,Electronics,4,5945.0,15,Credit Card,Delivered,20213.0
ORD-0203,2024-12-14,Chennai,Grocery,4,1423.0,15,UPI,Delivered,4838.2
ORD-0204,2024-08-31,Mumbai,Grocery,3,6261.0,0,UPI,Delivered,18783.0
ORD-0205,2024-09-08,Chennai,Books,3,2902.0,30,UPI,Delivered,6094.2
ORD-0206,2024-08-14,Gurugram,Fashion,2,2809.0,20,Debit Card,Cancelled,4494.4
ORD-0207,2024-04-06,Delhi NCR,Fashion,4,5504.0,0,COD,Cancelled,22016.0
ORD-0208,2024-07-10,Bangalore,Home,4,6872.0,30,Credit Card,Delivered,19241.6
ORD-0209,2024-03-10,Gurugram,Home,3,6430.0,10,Net Banking,Delivered,17361.0
ORD-0210,2024-04-12,Bangalore,Fashion,2,1856.0,30,UPI,Delivered,2598.4
ORD-0211,2024-04-11,Mumbai,Grocery,1,8275.0,20,COD,Delivered,6620.0
ORD-0212,2024-12-14,Bangalore,Fashion,4,5773.0,0,Debit Card,Delivered,23092.0
ORD-0213,2024-08-30,Hyderabad,Home,5,4098.0,30,Debit Card,Delivered,14343.0
ORD-0214,2024-12-18,Bangalore,Fashion,2,7563.0,5,UPI,Delivered,14369.7
ORD-0215,2024-04-19,Bangalore,Beauty,1,1592.0,15,Credit Card,Returned,1353.2
ORD-0216,2024-09-19,Bangalore,Toys,2,2531.0,10,UPI,Delivered,4555.8
ORD-0217,2024-01-05,Bangalore,Fashion,2,5879.0,15,Net Banking,Delivered,9994.3
ORD-0218,2024-06-27,Delhi NCR,Fashion,3,3901.0,10,Credit Card,Delivered,10532.7
ORD-0219,2024-11-15,Mumbai,Beauty,3,6143.0,30,UPI,Delivered,12900.3
ORD-0220,2024-07-10,Hyderabad,Beauty,5,8995.0,30,Net Banking,Delivered,31482.5
ORD-0221,2024-09-03,Bangalore,Grocery,3,2792.0,0,Debit Card,Returned,8376.0
ORD-0222,2024-12-01,Chennai,Beauty,3,7774.0,5,Debit Card,Delivered,22155.9
ORD-0223,2024-01-30,Hyderabad,Grocery,2,4728.0,0,Debit Card,Returned,9456.0
ORD-0224,2024-09-11,Mumbai,Fashion,2,6533.0,20,COD,Delivered,10452.8
ORD-0225,2024-12-28,Hyderabad,Fashion,4,6670.0,15,Debit Card,Cancelled,22678.0
ORD-0226,2024-08-31,Chennai,Grocery,2,6224.0,20,Net Banking,Delivered,9958.4
ORD-0227,2024-04-02,Mumbai,Electronics,2,7590.0,15,COD,Delivered,12903.0
ORD-0228,2024-04-03,Chennai,Grocery,3,6568.0,15,UPI,Delivered,16748.4
ORD-0229,2024-06-06,Delhi NCR,Grocery,3,2126.0,30,Debit Card,Delivered,4464.6
ORD-0230,2024-03-01,Delhi NCR,Electronics,5,2752.0,30,Net Banking,Delivered,9632.0
ORD-0231,2024-09-13,Bangalore,Books,5,780.0,0,COD,Delivered,3900.0
ORD-0232,2024-03-18,Bangalore,Fashion,3,3806.0,30,Debit Card,Delivered,7992.6
ORD-0233,2024-03-14,Mumbai,Books,5,8052.0,10,Credit Card,Shipped,36234.0
ORD-0234,2024-03-31,Mumbai,Beauty,1,4465.0,20,UPI,Delivered,3572.0
ORD-0235,2024-03-27,Hyderabad,Toys,4,2571.0,30,Credit Card,Delivered,7198.8
ORD-0236,2024-11-20,Delhi NCR,Grocery,1,1295.0,10,COD,Delivered,1165.5
ORD-0237,2024-04-12,Gurugram,Grocery,4,191.0,15,UPI,Delivered,649.4
ORD-0238,2024-01-03,Pune,Books,5,1837.0,20,Credit Card,Delivered,7348.0
ORD-0239,2024-07-15,Delhi NCR,Beauty,3,2912.0,0,Debit Card,Delivered,8736.0
ORD-0240,2024-05-28,Delhi NCR,Books,1,7441.0,5,Net Banking,Delivered,7068.95
ORD-0241,2024-03-09,Mumbai,Home,5,3140.0,20,Debit Card,Shipped,12560.0
ORD-0242,2024-07-25,Bangalore,Fashion,2,1609.0,30,Credit Card,Cancelled,2252.6
ORD-0243,2024-10-28,Delhi NCR,Electronics,2,2019.0,0,UPI,Delivered,4038.0
ORD-0244,2024-05-10,Gurugram,Home,1,3470.0,20,Net Banking,Delivered,2776.0
ORD-0245,2024-02-25,Pune,Electronics,5,8953.0,20,UPI,Cancelled,35812.0
ORD-0246,2024-03-04,Hyderabad,Fashion,1,3838.0,10,COD,Cancelled,3454.2
ORD-0247,2024-11-18,Bangalore,Fashion,2,1969.0,20,COD,Returned,3150.4
ORD-0248,2024-11-14,Pune,Books,1,6013.0,5,Credit Card,Delivered,5712.35
ORD-0249,2024-03-01,Mumbai,Electronics,1,4678.0,15,UPI,Delivered,3976.3
ORD-0250,2024-05-14,Delhi NCR,Fashion,2,5540.0,30,Debit Card,Cancelled,7756.0
ORD-0251,2024-10-07,Delhi NCR,Fashion,4,2764.0,0,COD,Delivered,11056.0
ORD-0252,2024-02-15,Bangalore,Beauty,2,174.0,20,COD,Delivered,278.4
ORD-0253,2024-02-21,Mumbai,Beauty,1,7049.0,0,Credit Card,Delivered,7049.0
ORD-0254,2024-02-21,Bangalore,Electronics,3,2488.0,0,Debit Card,Delivered,7464.0
ORD-0255,2024-02-18,Gurugram,Electronics,3,3920.0,0,UPI,Delivered,11760.0
ORD-0256,2024-11-14,Mumbai,Books,2,3059.0,10,UPI,Delivered,5506.2
ORD-0257,2024-07-23,Delhi NCR,Fashion,3,1768.0,10,COD,Cancelled,4773.6
ORD-0258,2024-03-26,Bangalore,Electronics,4,7229.0,20,UPI,Delivered,23132.8
ORD-0259,2024-09-04,Hyderabad,Books,1,3832.0,15,COD,Delivered,3257.2
ORD-0260,2024-11-09,Bangalore,Books,5,3511.0,5,Credit Card,Delivered,16677.25
ORD-0261,2024-08-13,Bangalore,Electronics,4,1149.0,10,Debit Card,Returned,4136.4
ORD-0262,2024-12-13,Hyderabad,Toys,3,259.0,30,Net Banking,Cancelled,543.9
ORD-0263,2024-06-22,Delhi NCR,Home,5,2132.0,20,Net Banking,Delivered,8528.0
ORD-0264,2024-09-03,Mumbai,Books,4,6006.0,0,COD,Delivered,24024.0
ORD-0265,2024-01-28,Bangalore,Beauty,5,8045.0,15,Credit Card,Delivered,34191.25
ORD-0266,2024-03-25,Bangalore,Toys,4,7689.0,30,COD,Delivered,21529.2
ORD-0267,2024-01-26,Delhi NCR,Fashion,2,3078.0,5,Net Banking,Returned,5848.2
ORD-0268,2024-02-10,Delhi NCR,Grocery,4,3719.0,0,Net Banking,Delivered,14876.0
ORD-0269,2024-06-10,Bangalore,Home,1,7731.0,10,UPI,Delivered,6957.9
ORD-0270,2024-10-08,Bangalore,Electronics,4,3799.0,15,Net Banking,Returned,12916.6
ORD-0271,2024-04-15,Pune,Books,3,8027.0,15,COD,Delivered,20468.85
ORD-0272,2024-04-24,Delhi NCR,Grocery,3,7454.0,30,Net Banking,Shipped,15653.4
ORD-0273,2024-12-02,Mumbai,Books,5,5460.0,20,COD,Delivered,21840.0
ORD-0274,2024-01-02,Mumbai,Grocery,1,6870.0,0,Debit Card,Delivered,6870.0
ORD-0275,2024-01-24,Bangalore,Home,5,3459.0,0,Credit Card,Cancelled,17295.0
ORD-0276,2024-04-10,Bangalore,Electronics,4,1097.0,15,COD,Delivered,3729.8
ORD-0277,2024-06-22,Bangalore,Toys,4,7447.0,0,COD,Delivered,29788.0
ORD-0278,2024-08-22,Pune,Beauty,5,1240.0,10,Net Banking,Delivered,5580.0
ORD-0279,2024-01-25,Hyderabad,Grocery,4,188.0,20,Net Banking,Delivered,601.6
ORD-0280,2024-12-20,Hyderabad,Fashion,5,7063.0,0,Credit Card,Delivered,35315.0
ORD-0281,2024-06-13,Delhi NCR,Grocery,4,5969.0,15,COD,Delivered,20294.6
ORD-0282,2024-05-30,Delhi NCR,Electronics,2,2571.0,5,Credit Card,Delivered,4884.9
ORD-0283,2024-09-19,Mumbai,Books,5,6345.0,20,Net Banking,Delivered,25380.0
ORD-0284,2024-04-17,Pune,Books,5,5748.0,0,Debit Card,Returned,28740.0
ORD-0285,2024-12-29,Pune,Fashion,3,8303.0,0,Net Banking,Delivered,24909.0
ORD-0286,2024-06-29,Hyderabad,Home,3,6437.0,30,Net Banking,Delivered,13517.7
ORD-0287,2024-09-30,Mumbai,Grocery,4,6117.0,30,UPI,Delivered,17127.6
ORD-0288,2024-01-28,Chennai,Electronics,1,374.0,0,Credit Card,Delivered,374.0
